report_id,date,site,report_type,text
R11-00000,2026-08-19,Moran,UC,"Unsafe condition: Vehicle parked wrongly at compressor house gate, moved after advice."
R11-00001,2026-08-16,Duliajan,Incident,"Incident report: Confined space permit at drill site filled with wrong date, corrected before entry. Reported during night shift."
R11-00002,2026-05-14,Jorhat,UA,Unsafe act observed: Welding carried out near open drain at drill site without hot work permit and gas test; flammable vapour present nearby.
R11-00003,2026-04-27,Duliajan,UA,"Unsafe act observed: Crew stood under suspended pipe during rig floor handling at drill site; exclusion zone not barricaded, load swung close to worker. Crew of four involved."
R11-00004,2026-07-16,Tinsukia,Near Miss,"Near miss: Worker not wearing safety glasses while cleaning at wellhead, counselled. Area secured."
R11-00005,2026-05-29,Moran,UC,"Unsafe condition: Small tool dropped from table at CPF, landed on floor, no one nearby. Supervisor informed."
R11-00006,2026-03-20,Kharsang,Near Miss,"Near miss: Minor cut on finger while opening a box at rig floor, first aid given. Crew of four involved."
R11-00007,2025-12-30,Moran,UA,"Unsafe act observed: LOTO tag found with faded ink at drill site; tag replaced the same day, isolation was properly verified."
R11-00008,2026-05-04,Duliajan,Incident,"Incident report: Reverse horn not working on van at rig floor, fixed the same day."
R11-00009,2026-08-05,Duliajan,UC,"Unsafe condition: Vehicle parked wrongly at GGS gate, moved after advice."
R11-00010,2025-11-07,Duliajan,Near Miss,"Near miss: Waste bin overflowing at tank farm, cleared by housekeeping."
R11-00011,2026-07-22,Duliajan,Incident,"Incident report: Waste bin overflowing at GGS, cleared by housekeeping."
R11-00012,2026-08-19,Moran,UC,"Unsafe condition: Waste bin overflowing at CPF, cleared by housekeeping. Reported during night shift."
R11-00013,2025-10-20,Duliajan,UA,"Unsafe act observed: Alarm test log at rig floor filled late, corrected. Area secured."
R11-00014,2025-11-05,Naharkatia,Near Miss,"Near miss: Welder at compressor house not wearing welding gloves, spoken to and corrected. Reported during night shift."
R11-00015,2026-02-15,Moran,UC,"Unsafe condition: Worker not wearing safety glasses while cleaning at wellhead, counselled. Area secured."
R11-00016,2025-12-10,Duliajan,UC,"Unsafe condition: High-pressure hose whipped at rig floor because whip-check not fitted, worker standing in line of discharge."
R11-00017,2026-04-02,Tinsukia,UA,"Unsafe act observed: Permit copy at wellhead not displayed at job site, displayed after reminder."
R11-00018,2025-12-09,Tinsukia,UA,"Unsafe act observed: Scaffold at tank farm without toe boards and handrails, worker climbed to 6 metres unsecured."
R11-00019,2026-09-16,Duliajan,Near Miss,"Near miss: Gas detector at pipeline ROW calibration due next week, scheduled. Area secured."
R11-00020,2026-04-13,Duliajan,UA,"Unsafe act observed: Stacked pipes untidy at oil collecting station store, rearranged."
R11-00021,2026-09-21,Jorhat,Incident,"Incident report: Scaffold at pipeline ROW without toe boards and handrails, worker climbed to 6 metres unsecured."
R11-00022,2026-06-04,Moran,Near Miss,"Near miss: LOTO tag found with faded ink at oil collecting station; tag replaced the same day, isolation was properly verified. Area secured."
R11-00023,2026-03-04,Tinsukia,Near Miss,"Near miss: Fire and gas alarm disabled at wellhead during maintenance and not reinstated, safety critical device override."
R11-00024,2026-04-26,Jorhat,Incident,"Incident report: Stacked pipes untidy at CPF store, rearranged."
R11-00025,2026-01-16,Duliajan,Incident,"Incident report: Gas detector at CPF calibration due next week, scheduled."
R11-00026,2026-05-30,Moran,UC,"Unsafe condition: Reverse horn not working on van at rig floor, fixed the same day."
R11-00027,2025-10-17,Duliajan,Incident,"Incident report: Toolbox talk record at pipeline ROW incomplete, corrected. Area secured."
R11-00028,2026-05-21,Jorhat,UA,"Unsafe act observed: Waste bin overflowing at GGS, cleared by housekeeping."
R11-00029,2025-11-09,Baghewala (Rajasthan),Incident,"Incident report: Permit copy at rig floor not displayed at job site, displayed after reminder."
R11-00030,2026-02-17,Duliajan,UA,"Unsafe act observed: Stacked pipes untidy at GGS store, rearranged. Reported during morning inspection."
R11-00031,2026-04-29,Jorhat,Incident,"Incident report: Small tool dropped from table at CPF, landed on floor, no one nearby. Area secured."
R11-00032,2026-05-26,Kharsang,UA,"Unsafe act observed: Roof of pump house at workshop accessed without fall protection, fragile sheet cracked."
R11-00033,2025-11-14,Tinsukia,UC,"Unsafe condition: Tanker driver near CPF overspeeding on narrow road, seat belt not worn, vehicle overturned close to pedestrians."
R11-00034,2025-10-20,Jorhat,Near Miss,"Near miss: Confined space permit at compressor house filled with wrong date, corrected before entry. Area secured."
R11-00035,2026-06-30,Jorhat,Incident,"Incident report: Water spill on floor near canteen at wellhead, mopped, employee slipped but no injury. Reported during night shift."
R11-00036,2026-01-22,Baghewala (Rajasthan),Incident,Incident report: Valve found unlocked during flange opening at drill site; hydrocarbon released because isolation not verified before breaking containment. Area secured.
R11-00037,2026-08-09,Jorhat,Near Miss,"Near miss: Waste bin overflowing at tank farm, cleared by housekeeping."
R11-00038,2026-06-15,Baghewala (Rajasthan),Incident,"Incident report: Confined space permit at compressor house filled with wrong date, corrected before entry. Area secured."
R11-00039,2025-11-03,Moran,Incident,"Incident report: LOTO tag found with faded ink at rig floor; tag replaced the same day, isolation was properly verified. Reported during night shift."
R11-00040,2026-03-23,Moran,Incident,"Incident report: Vehicle parked wrongly at drill site gate, moved after advice. Reported during night shift."
